"Gene.ID","mycOFF.mean","mycON.mean"
"AIM2",44.0868498888889,3.0803074
"AIMP1",45.4209035555556,78.534031
"AIMP2",14.8188541111111,72.2810516
"AIP",114.908951666667,73.8560835
"AJUBA",0.431961888888889,0.4106076
"AK1",91.7598638888889,27.8122982
"AK2",59.4022835555556,120.4829896
"AK3",43.512782,40.626211
"AK4",9.74075511111111,50.5141746
"AK6",23.2692326666667,73.8773573
"AK8",1.76619733333333,0.3225874
"AK9",0.564693333333333,0.6605951
"AKAP1",18.8881286666667,76.6116997
"AKAP10",30.9382456666667,16.9007356
"AKAP11",40.9833943333333,19.7775236
"AKAP13",87.630422,34.057997
"AKAP17A",77.7559807777778,39.0875671
"AKAP2",152.125640888889,75.8973725
"AKAP3",0.429926111111111,0.1869436
"AKAP5",1.42870522222222,0.5054856
"AKAP6",0.0593544444444444,0.0959873
"AKAP7",0.365681888888889,0.2845931
"AKAP8",43.4094023333333,41.4851658
"AKAP8L",89.2766817777778,49.6855255
"AKAP9",18.4904066666667,10.7778187
"AKIP1",27.9252293333333,17.7001874
"AKIRIN1",116.837913555556,74.4132302
"AKIRIN2",34.2377707777778,23.2262471
"AKNA",319.230173666667,80.4725967
"AKR1A1",73.8428023333333,114.0485604
"AKR1B1",126.294491,398.5323181
"AKR7A2",12.5470342222222,25.5847256
"AKR7A2P1",0.473110555555556,1.3396469
"AKR7L",0.380193,0.7988803
"AKT1",71.9228982222222,74.7974931
"AKT1S1",21.2808345555556,37.1107076
"AKT2",74.9005851111111,54.4667456
"AKT3",16.8990642222222,13.3192177
"AKTIP",5.05938033333333,4.6792735
"ALAD",66.7880944444444,23.1282652
"ALAS1",103.847178888889,74.4093361
"ALDH16A1",86.0601441111111,37.1670529
"ALDH18A1",32.536638,165.8162475
"ALDH1A3",2.78181788888889,3.4543624
"ALDH1B1",10.5721078888889,85.3911019
"ALDH1L2",0.866343888888889,9.4184296
"ALDH2",80.0308871111111,27.6304938
"ALDH3A2",6.94459844444444,19.6427519
"ALDH3B1",2.10039255555556,1.7008688
"ALDH3B2",1.47678566666667,0.5875421
"ALDH4A1",13.7283416666667,21.4642411
"ALDH5A1",4.92441366666667,17.5226676
"ALDH6A1",6.91337788888889,4.7610996
"ALDH9A1",72.9972567777778,55.2844465
"ALDOA",527.215993222222,1259.2581177
"ALDOC",33.5495474444444,63.8700577
"ALG1",9.64667733333333,21.6765322
"ALG10",4.51942955555556,5.532584
"ALG10B",4.81868244444444,5.9320502
"ALG11",13.4312756666667,11.9006034
"ALG12",14.5513128888889,15.8463355
"ALG13",46.8140096666667,33.8852087
"ALG14",11.06442,15.4654149
"ALG1L2",1.20611522222222,0.7470533
"ALG1L9P",0.331161111111111,0.4689467
"ALG2",76.238622,54.1448516
"ALG3",19.1094782222222,66.0034794
"ALG5",24.902793,51.9947586
"ALG6",6.54132922222222,8.5960167
"ALG8",27.3956814444444,36.5491381
"ALG9",6.45363411111111,8.1033239
"ALKBH1",14.178246,17.3356833
"ALKBH2",7.50061166666667,41.3742396
"ALKBH3",26.4020931111111,28.3632715
"ALKBH4",9.61489133333333,13.4121166
"ALKBH5",44.5789655555556,60.6108192
"ALKBH6",25.6828758888889,13.6024639
"ALKBH7",49.6027972222222,40.7631344
